og	gos
COG1211	GO:0008152,GO:1901576,GO:0044249,GO:0009987,GO:0071704,GO:0009058,GO:0044237,GO:0044238,GO:0044710,GO:0006629,GO:0006720,GO:0044255,GO:0008299,GO:0008610,GO:1901135,GO:0044281,GO:0032787,GO:0043436,GO:0019637,GO:0046490,GO:0090407,GO:0008654,GO:0006644,GO:0006081,GO:0006082,GO:0019752,GO:0019288,GO:0006090,GO:0019682,GO:0009240,GO:0006796,GO:0006793,GO:0016114,GO:0006721
COG1335	GO:0008152
COG2352	GO:0008152,GO:0009987,GO:0044710,GO:0044237,GO:0006099,GO:0015977,GO:0006091,GO:0071704,GO:0044238,GO:0045333,GO:0055114,GO:0015980,GO:0009060,GO:0019752,GO:0044281,GO:0006107,GO:0043436,GO:0043648,GO:0006082
COG4477	GO:0016020,GO:0044464,GO:0005623,GO:0071944,GO:0043229,GO:0043228,GO:0043226,GO:0031224,GO:0005737,GO:0005940,GO:0016021,GO:0044430,GO:0005856,GO:0032156,GO:0005938,GO:0043232,GO:0005622,GO:0044446,GO:0044444,GO:0044448,GO:0044424,GO:0044425,GO:0044422,GO:0005886
COG1349	GO:0044464,GO:0005623,GO:0005622
COG1674	GO:0016020,GO:0016021,GO:0044425,GO:0031224
ENOG410YAHP	GO:0044464,GO:0005623,GO:0043229,GO:0043227,GO:0043226,GO:0005737,GO:0043231,GO:0005622,GO:0005773,GO:0044444,GO:0044424,GO:0071944,GO:0005618,GO:0030312,GO:0005576,GO:0048046,GO:0016020,GO:0005886
ENOG41121V9	GO:0019725,GO:0009987,GO:0050794,GO:0042592,GO:0044763,GO:0065007,GO:0045454,GO:0065008,GO:0050789,GO:0044699,GO:0044710,GO:0055114,GO:0008152
COG3684	GO:0008152,GO:0016310,GO:0009311,GO:0009313,GO:0005988,GO:1901575,GO:0044262,GO:0005984,GO:0071704,GO:0046352,GO:0009987,GO:0016052,GO:0044723,GO:0009056,GO:0044724,GO:0044275,GO:0044238,GO:0005975,GO:0019512,GO:0044237,GO:0005990,GO:0006796,GO:0006793,GO:2001058,GO:2001059,GO:0046434,GO:1901136,GO:1901135,GO:0019637
COG0283	GO:0005737,GO:0044464,GO:0005623,GO:0005622,GO:0044424
ENOG4111NIG	GO:0008152,GO:0044238,GO:0019538,GO:0043170,GO:0071704,GO:0006508
COG1586	GO:0008152,GO:0034641,GO:0006807,GO:0071704,GO:1901566,GO:0009987,GO:0009058,GO:1901564,GO:0044271,GO:0044249,GO:0044237,GO:1901576,GO:0006596,GO:0006595,GO:0042401,GO:0008216,GO:0009308,GO:0009309,GO:0044106,GO:0006576,GO:0008295,GO:0044710,GO:0044281,GO:0044238,GO:0046129,GO:0072521,GO:0046499,GO:1901362,GO:0042451,GO:1901360,GO:0006139,GO:0042278,GO:0055086,GO:0018130,GO:0006725,GO:0009116,GO:0034654,GO:0009119,GO:0046128,GO:0042455,GO:0046483,GO:0072522,GO:1901137,GO:0006557,GO:1901135,GO:0044272,GO:1901657,GO:0006790,GO:0019438,GO:1901659,GO:0009163
COG2897	GO:0008152
COG3250	GO:0009341,GO:0043234,GO:0032991
COG0371	GO:0005737,GO:0044464,GO:0005622,GO:0005623,GO:0044424
COG1725	GO:0044464,GO:0005623,GO:0005622
COG3708	GO:0044464,GO:0005623,GO:0005622
COG0275	GO:0044464,GO:0005623,GO:0005737,GO:0005622,GO:0044424
COG1876	GO:0008152,GO:0043170,GO:0071704,GO:0044238,GO:0019538,GO:0006508
ENOG4111JX2	GO:0032259,GO:0008152
COG0082	GO:0044710,GO:0008152,GO:0019752,GO:0044249,GO:0044281,GO:0044283,GO:1901576,GO:0044711,GO:0071704,GO:0009987,GO:0009058,GO:0043436,GO:0006082,GO:0046394,GO:0016053,GO:0044237,GO:0008652,GO:0044238,GO:0006807,GO:1901362,GO:1901360,GO:0006520,GO:0006725,GO:0009072,GO:0009073,GO:1901564,GO:1901566,GO:0019438,GO:0043650,GO:0043648,GO:0009423,GO:0046417
COG0129	GO:0008152,GO:0044710,GO:0071704,GO:0009987,GO:0044237,GO:0044238,GO:0044281,GO:0009082,GO:1901576,GO:0009058,GO:0044249,GO:0006807,GO:0044711,GO:1901564,GO:1901566,GO:0008652,GO:0044283,GO:0043436,GO:0016053,GO:0046394,GO:0006082,GO:0009081,GO:0019752,GO:0006520,GO:0006549,GO:0006573,GO:0009099,GO:0009097,GO:1901605,GO:1901607,GO:0005975,GO:0044262,GO:0009255
COG0710	GO:0005737,GO:0044464,GO:0005623,GO:0005622,GO:0044424
ENOG410XPUZ	GO:0005737,GO:0044464,GO:0005623,GO:0005622,GO:0044424
COG3425	GO:0044464,GO:0005623,GO:0005622,GO:0044424,GO:0005737,GO:0043229,GO:0043227,GO:0043226,GO:0043231,GO:0016020
COG0289	GO:0044464,GO:0005623,GO:0005737,GO:0005622,GO:0044424
