og	gos
COG2873	GO:0008152,GO:0006520,GO:0019752,GO:0006807,GO:0044710,GO:0071704,GO:0009987,GO:0043436,GO:0044238,GO:1901564,GO:0006082,GO:0044237,GO:0044281,GO:0071266,GO:0006790,GO:1901605,GO:0000096,GO:0008652,GO:0044249,GO:0044283,GO:1901576,GO:0044711,GO:0009058,GO:1901566,GO:0046394,GO:0016053,GO:1901607,GO:0000097,GO:0044272,GO:0009066,GO:0006555,GO:0009086,GO:0071265,GO:0009067,GO:0019344,GO:0009069,GO:0006534,GO:0009070
COG1792	GO:0022604,GO:0022603,GO:0051128,GO:0050789,GO:0065007,GO:0065008,GO:0050793,GO:0050794,GO:0008360
COG2124	GO:0008152,GO:0044710,GO:0055114
COG0084	GO:0090305,GO:0008152,GO:0009987,GO:0043170,GO:0071704,GO:0044238,GO:0044237,GO:1901360,GO:0046483,GO:0006807,GO:0034641,GO:0006139,GO:0006725,GO:0090304
COG0647	GO:0008152,GO:0016311,GO:0009987,GO:0044237,GO:0006796,GO:0006793
ENOG410XUQ1	GO:0030001,GO:0006810,GO:0006812,GO:0006811,GO:0051234,GO:0044699,GO:0044765,GO:0051179,GO:0000041,GO:0006825,GO:0044763,GO:0009987,GO:0055085,GO:0034220,GO:0010038,GO:0010035,GO:0050787,GO:0050896,GO:0072511,GO:0009636,GO:0015694,GO:0046689,GO:0042221,GO:0008152,GO:0044710,GO:0035434,GO:0046434,GO:0009166,GO:0009167,GO:0009164,GO:0044281,GO:0046130,GO:1901360,GO:0009169,GO:0046128,GO:0009199,GO:0042454,GO:0009207,GO:0009205,GO:0009203,GO:0046034,GO:0046483,GO:1901564,GO:1901565,GO:0034641,GO:0006163,GO:0019637,GO:0009141,GO:0009143,GO:0009144,GO:0009146,GO:0006195,GO:1901575,GO:0006200,GO:1901361,GO:0009150,GO:0009158,GO:0009154,GO:0046700,GO:0009261,GO:0019439,GO:0034655,GO:0044270,GO:1901292,GO:0009161,GO:0006753,GO:0044248,GO:0009128,GO:0009123,GO:0009126,GO:0009259,GO:0009125,GO:0006139,GO:0042278,GO:0006725,GO:0055086,GO:1901136,GO:1901135,GO:0006807,GO:0019693,GO:0072521,GO:0072523,GO:0071704,GO:0006152,GO:0009117,GO:0009116,GO:0009119,GO:0009056,GO:0044238,GO:0044237,GO:1901657,GO:0006796,GO:0006793,GO:1901658
COG0381	GO:0008152,GO:0071704,GO:0009987,GO:0044710,GO:0044237,GO:1901135,GO:0044281,GO:0044262,GO:0044238,GO:0005975,GO:0006040,GO:0044249,GO:0009103,GO:1901576,GO:0009058,GO:1901137,GO:0006796,GO:0006793,GO:0034645,GO:0016051,GO:0044264,GO:0044260,GO:0043170,GO:0006629,GO:0000271,GO:0034637,GO:0009059,GO:0044723,GO:0044255,GO:0008610,GO:0008653,GO:0033692,GO:0005976,GO:0034641,GO:0006807,GO:1901360,GO:0006139,GO:0046483,GO:0009225,GO:0006725,GO:0009117,GO:0055086,GO:0006047,GO:0019637,GO:0006753,GO:0006082,GO:0019752,GO:0006054,GO:0043436,GO:0016310,GO:0044283,GO:0044711,GO:0046835,GO:0046349,GO:0016053,GO:0046394,GO:0046380
COG0257	GO:0005622,GO:0043229,GO:0043226,GO:0005737,GO:0044464,GO:0005623,GO:0044444,GO:0044424,GO:0030529,GO:0043228,GO:0032991,GO:0005840,GO:0043232
COG0058	GO:0005975,GO:0008152,GO:0071704,GO:0044238,GO:0009987,GO:0044237,GO:0044710,GO:0043170,GO:0005977,GO:0006073,GO:0055114,GO:0044264,GO:0044262,GO:0044260,GO:0006112,GO:0015980,GO:0044042,GO:0006091,GO:0005976
COG3848	GO:0016310,GO:0009987,GO:0008152,GO:0044237,GO:0006796,GO:0006793,GO:0019320,GO:0046365,GO:0006091,GO:0006096,GO:1901575,GO:0071704,GO:0019318,GO:0044723,GO:0009056,GO:0044724,GO:0044238,GO:0005975,GO:0005996,GO:0016052,GO:0006006,GO:0006007
COG2242	GO:0006479,GO:0008152,GO:0032259,GO:1901360,GO:0046483,GO:0006807,GO:0034641,GO:0009987,GO:0006725,GO:0071704,GO:0044238,GO:0044237,GO:0044281,GO:0044710,GO:1901564,GO:0044260,GO:0043412,GO:0043414,GO:0043170,GO:0044283,GO:1901362,GO:0044711,GO:0006767,GO:0006766,GO:1901566,GO:0019438,GO:0033014,GO:0033013,GO:0018130,GO:0044271,GO:0044249,GO:0042364,GO:0009236,GO:0009235,GO:1901576,GO:0009058,GO:0009110,GO:0019538,GO:0044267,GO:0036211,GO:0008213,GO:0006464,GO:0006139,GO:0006200,GO:0046434,GO:0009166,GO:0009167,GO:0009164,GO:0009169,GO:0009199,GO:0042454,GO:0009207,GO:0046034,GO:0046128,GO:1901565,GO:0009128,GO:0006163,GO:0019439,GO:0009141,GO:0009143,GO:0009144,GO:0009146,GO:0006195,GO:1901575,GO:0046130,GO:0009154,GO:0009158,GO:0006810,GO:0009150,GO:0009261,GO:0019637,GO:0034655,GO:0046700,GO:0044270,GO:0044765,GO:1901292,GO:0009161,GO:0044763,GO:0006753,GO:0044248,GO:0009123,GO:0009126,GO:0009259,GO:0044699,GO:0009125,GO:0051234,GO:0042278,GO:0055085,GO:0055086,GO:1901136,GO:1901135,GO:0009205,GO:0019693,GO:0072521,GO:0009203,GO:0072523,GO:0071702,GO:0006152,GO:1901361,GO:0009117,GO:0009116,GO:0009119,GO:0009056,GO:0051179,GO:1901657,GO:0006796,GO:1901658,GO:0006793,GO:0051186,GO:0051180,GO:0015889,GO:0051188,GO:0071705,GO:0015009,GO:0046140,GO:0055114
COG1253	GO:0016020,GO:0044425,GO:0031224,GO:0016021
COG1013	GO:0008152,GO:0055114,GO:0044710,GO:0009987,GO:0044237,GO:0006091,GO:0022900
COG0821	GO:0044710,GO:0008152,GO:0009987,GO:0055114,GO:1901576,GO:0009058,GO:0044249,GO:0044237,GO:0071704,GO:0006629,GO:0006720,GO:0044255,GO:0008299,GO:0008610,GO:0044238,GO:0016114,GO:0006721,GO:0044281,GO:0032787,GO:0043436,GO:0019637,GO:0046490,GO:0090407,GO:0008654,GO:0006644,GO:0006081,GO:0006082,GO:1901135,GO:0019752,GO:0019288,GO:0006090,GO:0019682,GO:0009240,GO:0006796,GO:0006793
COG0436	GO:0008152,GO:0009058,GO:0009987,GO:0044237,GO:0071704,GO:0044710,GO:0044238,GO:0044281,GO:0006807,GO:0043436,GO:0006082,GO:0019752,GO:0006520,GO:1901564,GO:1901605,GO:0044249,GO:1901576,GO:0044283,GO:0044711,GO:1901566,GO:0046394,GO:0016053,GO:0008652,GO:1901607,GO:0043648,GO:0009066,GO:0009067,GO:0009089,GO:0009085,GO:0006553,GO:0046451
COG1121	GO:0016020,GO:0044464,GO:0005623,GO:0071944,GO:0005886
COG0504	GO:0006221,GO:0008152,GO:0009987,GO:0044710,GO:0046483,GO:0044281,GO:0006807,GO:1901360,GO:0034641,GO:0006139,GO:0006725,GO:0055086,GO:0044237,GO:0071704,GO:0044238,GO:1901564,GO:0072527,GO:1901362,GO:1901566,GO:0019637,GO:1901576,GO:0018130,GO:0044271,GO:0044249,GO:0072528,GO:0009058,GO:0006796,GO:0006793,GO:0090407,GO:0006753,GO:0006220,GO:0009117,GO:0009165,GO:0019438,GO:0034654,GO:1901293,GO:0006241,GO:0009218,GO:0009260,GO:0046390,GO:0009259,GO:1901137,GO:1901135,GO:0009220,GO:0019693,GO:0009163,GO:0046134,GO:0046131,GO:0046132,GO:0009199,GO:0009201,GO:0046036,GO:0009209,GO:0009208,GO:0042455,GO:0009148,GO:0009141,GO:0009142,GO:0009147,GO:0006213,GO:0009116,GO:0009119,GO:1901657,GO:1901659,GO:0006541,GO:0043436,GO:0009064,GO:1901605,GO:0006082,GO:0019752,GO:0006520,GO:0044210
COG0194	GO:0044464,GO:0005623,GO:0005622,GO:0044424,GO:0005737,GO:0016020,GO:0071944
COG0154	GO:0008152,GO:0009987,GO:0071704,GO:0044237,GO:0044238,GO:0009058,GO:0044249,GO:0043170,GO:0044260,GO:1901576,GO:0006412,GO:0010467,GO:0034645,GO:0009059,GO:0019538,GO:0044267
COG0712	GO:0016020,GO:0044464,GO:0005623,GO:0005622,GO:0044424,GO:0044425,GO:0043234,GO:0032991,GO:0045259,GO:0016469,GO:0045261,GO:0033178,GO:0071944,GO:0005886
COG0764	GO:0044464,GO:0005623,GO:0005622,GO:0044424,GO:0005737
COG1493	GO:0006468,GO:0023014,GO:0016310,GO:0044267,GO:0044260,GO:0071704,GO:0009987,GO:0006464,GO:0043412,GO:0036211,GO:0008152,GO:0044238,GO:0019538,GO:0044237,GO:0043170,GO:0006796,GO:0006793,GO:0080090,GO:0019222,GO:0050789,GO:0051716,GO:0065007,GO:0044699,GO:0050794,GO:0044763,GO:0007154,GO:0050896,GO:0023052,GO:0007165,GO:0000160,GO:0044700,GO:0006109,GO:0005975
COG1010	GO:0032259,GO:0008152,GO:0044249,GO:0009987,GO:0009058,GO:0044237,GO:0044281,GO:0044283,GO:1901362,GO:1901360,GO:0044710,GO:0044711,GO:0006767,GO:0006766,GO:0046483,GO:1901564,GO:1901566,GO:0019438,GO:0006807,GO:1901576,GO:0033014,GO:0033013,GO:0018130,GO:0044271,GO:0034641,GO:0006725,GO:0042364,GO:0009236,GO:0009235,GO:0071704,GO:0009110,GO:0055114,GO:0051186,GO:0051188,GO:0006778,GO:0006779
COG1392	NA
COG0215	GO:0044464,GO:0005623,GO:0005622,GO:0044424,GO:0005737
COG0191	GO:0005975,GO:0008152,GO:0071704,GO:0044238,GO:0009987,GO:0044237,GO:1901575,GO:0009056,GO:0016052,GO:0044723,GO:0044724,GO:0005996,GO:0019320,GO:0019318,GO:0006006,GO:0006007,GO:0046365,GO:0006091,GO:0006096,GO:0006796,GO:0006793,GO:0019637,GO:1901135,GO:0030388
COG0461	GO:0008152,GO:0009987,GO:1901360,GO:0044710,GO:0046483,GO:1901564,GO:0044281,GO:0006807,GO:0034641,GO:0006139,GO:0006725,GO:0055086,GO:0071704,GO:0044238,GO:0044237,GO:0009116,GO:0006221,GO:0072527,GO:1901362,GO:1901566,GO:1901576,GO:0018130,GO:0044271,GO:0044249,GO:0072528,GO:0009058,GO:0019438,GO:0034654,GO:1901135,GO:0009165,GO:0019637,GO:0090407,GO:1901293,GO:0006753,GO:0006220,GO:0006793,GO:0009117,GO:0006796,GO:1901657,GO:1901137,GO:0009163,GO:0046134,GO:0046131,GO:0042455,GO:0046132,GO:0006213,GO:0009119,GO:1901659,GO:0009218,GO:0009260,GO:0046390,GO:0009259,GO:0006222,GO:0019693,GO:0009220,GO:0009161,GO:0009174,GO:0009173,GO:0009156,GO:0009129,GO:0009123,GO:0009124,GO:0009130,GO:0046049,GO:0044205,GO:0006206,GO:0009112,GO:0019856,GO:0046112,GO:0006207
COG1210	GO:0009058,GO:0008152,GO:0009987,GO:0044237,GO:0006796,GO:0006793,GO:0034641,GO:0006807,GO:0044281,GO:1901360,GO:0006139,GO:0044710,GO:0071704,GO:0009225,GO:0006725,GO:0009117,GO:0055086,GO:0046483,GO:0044238,GO:1901135,GO:0019637,GO:0006753,GO:0006011
COG0113	GO:0033014,GO:0008152,GO:0009987,GO:1901362,GO:1901360,GO:1901564,GO:0046483,GO:0019438,GO:0006807,GO:1901576,GO:0033013,GO:0018130,GO:0044271,GO:0044249,GO:0034641,GO:1901566,GO:0006725,GO:0071704,GO:0009058,GO:0044237,GO:0006779,GO:0006778,GO:0051186,GO:0051188
COG0137	GO:0044464,GO:0005623,GO:0005622,GO:0005737,GO:0044424
COG0192	GO:0044464,GO:0005623,GO:0005622,GO:0044424,GO:0005737
COG0274	GO:0005737,GO:0044464,GO:0005623,GO:0005622,GO:0044424
COG0205	GO:0005737,GO:0044464,GO:0005623,GO:0005622,GO:0044424,GO:0044444,GO:0005829,GO:0005945,GO:0043234,GO:0032991,GO:0044445
COG0378	GO:0005737,GO:0044464,GO:0005623,GO:0005622,GO:0044424
ENOG4112AMX	NA
COG0501	GO:0016020,GO:0044464,GO:0005623,GO:0044425,GO:0031224,GO:0016021,GO:0071944,GO:0005886
COG5229	GO:0043229,GO:0043226,GO:0044464,GO:0005623,GO:0005622,GO:0044424,GO:0043228,GO:0005694,GO:0043232,GO:0000793,GO:0044446,GO:0044427,GO:0044422,GO:0000796,GO:0043234,GO:0032991,GO:0005737,GO:0005856,GO:0015630
COG0101	GO:0001522,GO:0008152,GO:0009451,GO:1901360,GO:0046483,GO:0006807,GO:0044260,GO:0016070,GO:0034641,GO:0006139,GO:0009987,GO:0006725,GO:0043170,GO:0090304,GO:0071704,GO:0044238,GO:0044237,GO:0043412,GO:0008033,GO:0034660,GO:0010467,GO:0006396,GO:0034470,GO:0006399,GO:0006400,GO:0031119
COG1358	GO:0005622,GO:0044464,GO:0005623,GO:0044424,GO:0030529,GO:0032991,GO:0043229,GO:0043226,GO:0043228,GO:0043232,GO:0005737,GO:0005840,GO:0044444,GO:0044446,GO:0044422,GO:0005634,GO:0043227,GO:0043231,GO:0044428,GO:0031974,GO:0031981,GO:0043233,GO:0070013,GO:0005730
COG2026	NA
COG2302	GO:0097159,GO:0003723,GO:0003676,GO:1901363,GO:0005488
COG1386	GO:0005737,GO:0044424,GO:0044464,GO:0005623,GO:0005622
COG1695	NA
COG1737	GO:0080090,GO:0019222,GO:0060255,GO:2001141,GO:0050789,GO:0065007,GO:0009889,GO:0050794,GO:0006355,GO:0010556,GO:0051252,GO:0031326,GO:0031323,GO:2000112,GO:0010468,GO:0019219,GO:0051171,GO:0008152,GO:0071704,GO:0044238,GO:0005975
COG1827	GO:0005488,GO:0036094
ENOG410XQWR	GO:0044464,GO:0005623,GO:0005622
ENOG410Y4UR	GO:0080090,GO:0019222,GO:0019219,GO:0031323,GO:2001141,GO:0051252,GO:0009889,GO:0050789,GO:0006355,GO:0010556,GO:0065007,GO:0051171,GO:0031326,GO:0060255,GO:0050794,GO:0010468,GO:2000112
ENOG410YHFF	GO:0080090,GO:0019222,GO:0019219,GO:0031323,GO:2001141,GO:0051252,GO:0009889,GO:0050789,GO:0006355,GO:0010556,GO:0065007,GO:0051171,GO:0031326,GO:0060255,GO:0050794,GO:0010468,GO:2000112,GO:0032259,GO:0008152
ENOG410YWYF	GO:0097159,GO:1901363,GO:0005488,GO:0003676,GO:0003677
ENOG4111ACK	GO:0043231,GO:0005634,GO:0044464,GO:0005623,GO:0005622,GO:0043229,GO:0044424,GO:0043227,GO:0043226
ENOG4111JBB	GO:0032774,GO:0019222,GO:0031326,GO:0031323,GO:0090304,GO:0044249,GO:0034641,GO:0006807,GO:0034645,GO:1901362,GO:0050789,GO:1901360,GO:0080090,GO:0006139,GO:0044260,GO:0071704,GO:2000112,GO:0060255,GO:0010467,GO:0065007,GO:0010468,GO:0018130,GO:1901576,GO:0019219,GO:0006725,GO:0009987,GO:0009889,GO:0050794,GO:0009058,GO:0009059,GO:0051171,GO:0008152,GO:2001141,GO:0034654,GO:0046483,GO:0016070,GO:0044238,GO:0044271,GO:0051252,GO:0044237,GO:0043170,GO:0006355,GO:0010556,GO:0006351,GO:0019438
ENOG4111K02	GO:0032774,GO:0019222,GO:0031326,GO:0031323,GO:0090304,GO:0044249,GO:0034641,GO:0006807,GO:0034645,GO:1901362,GO:0050789,GO:1901360,GO:0080090,GO:0006139,GO:0044260,GO:0071704,GO:2000112,GO:0060255,GO:0010467,GO:0065007,GO:0010468,GO:0018130,GO:1901576,GO:0019219,GO:0006725,GO:0009987,GO:0009889,GO:0050794,GO:0009058,GO:0009059,GO:0051171,GO:0008152,GO:2001141,GO:0034654,GO:0046483,GO:0016070,GO:0044238,GO:0044271,GO:0051252,GO:0044237,GO:0043170,GO:0006355,GO:0010556,GO:0006351,GO:0006352,GO:0019438
ENOG4111MW5	GO:0032774,GO:0019222,GO:0031326,GO:0031323,GO:0090304,GO:0044249,GO:0034641,GO:0006807,GO:0034645,GO:1901362,GO:0050789,GO:1901360,GO:0080090,GO:0006139,GO:0044260,GO:0071704,GO:2000112,GO:0060255,GO:0010467,GO:0065007,GO:0010468,GO:0018130,GO:1901576,GO:0019219,GO:0006725,GO:0009987,GO:0009889,GO:0050794,GO:0009058,GO:0009059,GO:0051171,GO:0008152,GO:2001141,GO:0034654,GO:0046483,GO:0016070,GO:0044238,GO:0044271,GO:0051252,GO:0044237,GO:0043170,GO:0006355,GO:0010556,GO:0006351,GO:0019438
ENOG4111VSN	GO:0044464,GO:0005623,GO:0005622
ENOG41127GI	GO:0032774,GO:0019222,GO:0031326,GO:0031323,GO:0090304,GO:0044249,GO:0034641,GO:0006807,GO:0034645,GO:1901362,GO:0050789,GO:1901360,GO:0080090,GO:0006139,GO:0044260,GO:0071704,GO:2000112,GO:0060255,GO:0010467,GO:0065007,GO:0010468,GO:0018130,GO:1901576,GO:0019219,GO:0006725,GO:0009987,GO:0009889,GO:0050794,GO:0009058,GO:0009059,GO:0051171,GO:0008152,GO:2001141,GO:0034654,GO:0046483,GO:0016070,GO:0044238,GO:0044271,GO:0051252,GO:0044237,GO:0043170,GO:0006355,GO:0010556,GO:0006351,GO:0019438
COG0122	GO:0044464,GO:0005623,GO:0005622
COG0270	GO:0043229,GO:0043226,GO:0005634,GO:0044464,GO:0005623,GO:0005622,GO:0044424,GO:0043227,GO:0043231
COG0514	GO:0005622,GO:0044464,GO:0005623
COG0550	GO:0044464,GO:0005623,GO:0005622,GO:0044424,GO:0043229,GO:0043226,GO:0005694,GO:0043228,GO:0043232
COG0582	GO:0044464,GO:0005623,GO:0005622,GO:0044424,GO:0005737
COG0675	GO:0008152,GO:0071704,GO:0044238,GO:0009987,GO:0044237,GO:0034641,GO:0006807,GO:1901360,GO:0006139,GO:0006725,GO:0046483,GO:0043170,GO:0090304,GO:0044260,GO:0006259
COG0742	GO:0031167,GO:0008152,GO:0090304,GO:0034641,GO:0006807,GO:0006139,GO:0044260,GO:1901360,GO:0071704,GO:0009987,GO:0006725,GO:0046483,GO:0044238,GO:0044237,GO:0043170,GO:0009451,GO:0034660,GO:0071840,GO:0042254,GO:0010467,GO:0006364,GO:0022613,GO:0032259,GO:0034470,GO:0043412,GO:0043414,GO:0001510,GO:0016070,GO:0016072,GO:0000154,GO:0044085,GO:0006396
COG0827	GO:0008152,GO:0032259,GO:0090304,GO:0034641,GO:0006807,GO:1901360,GO:0006139,GO:0071704,GO:0009987,GO:0006725,GO:0046483,GO:0044238,GO:0044237,GO:0043170,GO:0044260,GO:0006259,GO:0006304,GO:0043412,GO:0006306,GO:0019222,GO:0050789,GO:0006305,GO:0040029,GO:0065007,GO:0010468,GO:0060255,GO:0044728,GO:0043414,GO:0032775
COG1194	GO:0044464,GO:0005623,GO:0005622
COG1353	GO:0008152
COG1518	GO:0090305,GO:0090304,GO:0034641,GO:0006807,GO:0006139,GO:1901360,GO:0071704,GO:0009987,GO:0006725,GO:0008152,GO:0046483,GO:0044238,GO:0044237,GO:0043170,GO:0044260,GO:0006259,GO:0044699,GO:0006950,GO:0044763,GO:0050896,GO:0016043,GO:0071840,GO:0043571,GO:0043570,GO:0006996,GO:0051276,GO:0051607,GO:0009615,GO:0051704,GO:0006952,GO:0051707,GO:0009607,GO:0002376,GO:0002252
COG1658	GO:0044464,GO:0005623,GO:0005622,GO:0044424,GO:0005737
COG2816	GO:0008152
COG2818	GO:1901360,GO:0046483,GO:0006807,GO:0008152,GO:0034641,GO:0006139,GO:0009987,GO:0006725,GO:0044237,GO:0071704,GO:0044238,GO:0006281,GO:0044260,GO:0043170,GO:0090304,GO:0006259,GO:0033554,GO:0044699,GO:0051716,GO:0006950,GO:0050896,GO:0006974,GO:0044763,GO:0006284
COG3359	GO:0090305,GO:0006139,GO:0044238,GO:0009987,GO:0006725,GO:0044237,GO:0043170,GO:0090304,GO:0071704,GO:0034641,GO:0006807,GO:0008152,GO:1901360,GO:0046483
COG3547	GO:1901360,GO:0046483,GO:0006807,GO:0044260,GO:0008152,GO:0034641,GO:0044699,GO:0006139,GO:0009987,GO:0006725,GO:0043170,GO:0090304,GO:0071704,GO:0044763,GO:0044238,GO:0044237,GO:0006259,GO:0032196,GO:0006310,GO:0006313,GO:0050896,GO:0051716,GO:0006950,GO:0006281,GO:0033554,GO:0006974
ENOG410XQUD	GO:0008152,GO:0046434,GO:0009141,GO:0009143,GO:0009144,GO:0009146,GO:0009166,GO:0009167,GO:0009128,GO:0006807,GO:0044237,GO:0009161,GO:0009123,GO:0006195,GO:0009126,GO:0009259,GO:1901360,GO:0009125,GO:0046700,GO:0006139,GO:0044710,GO:0072523,GO:1901565,GO:0046130,GO:0046483,GO:0042278,GO:0006200,GO:0071704,GO:0009199,GO:0055086,GO:0006152,GO:0009169,GO:0009207,GO:0009205,GO:0009987,GO:0009203,GO:0009158,GO:1901361,GO:0046034,GO:0009154,GO:0006725,GO:1901575,GO:0009150,GO:0009261,GO:0019637,GO:0034641,GO:0009117,GO:0009116,GO:0034655,GO:0009119,GO:0046128,GO:0009056,GO:0044248,GO:0042454,GO:0072521,GO:0044238,GO:1901564,GO:0044270,GO:1901136,GO:1901135,GO:0009164,GO:0019693,GO:0006163,GO:1901657,GO:0006796,GO:1901292,GO:0006793,GO:0019439,GO:0006753,GO:1901658,GO:0044281
ENOG410ZWC5	GO:0043234,GO:0032991
ENOG411012J	GO:0006310,GO:0006139,GO:0006313,GO:0044260,GO:0044238,GO:0009987,GO:0006725,GO:0032196,GO:0044237,GO:0043170,GO:0090304,GO:0071704,GO:0034641,GO:0006807,GO:0044763,GO:1901360,GO:0008152,GO:0006259,GO:0044699,GO:0046483
COG0206	GO:0044464,GO:0005623,GO:0005622,GO:0044424,GO:0005737,GO:0043234,GO:0032991,GO:0032153,GO:0043229,GO:0043226,GO:0044446,GO:0044422,GO:0043228,GO:0005874,GO:0044430,GO:0005856,GO:0015630,GO:0043232
ENOG4112777	GO:0005576,GO:0018995,GO:0044218,GO:0044217,GO:0044215,GO:0020002,GO:0033643,GO:0016021,GO:0016020,GO:0044279,GO:0043657,GO:0033644,GO:0043245,GO:0044425,GO:0044421,GO:0031224,GO:0044216
COG1209	GO:0008152,GO:0009058,GO:0009987,GO:1901576,GO:0044249,GO:0071704,GO:0044237,GO:0044238,GO:0016051,GO:0043170,GO:0044264,GO:0044262,GO:0044260,GO:0044723,GO:0034645,GO:0034637,GO:0033692,GO:0000271,GO:0009059,GO:0005975,GO:0005976,GO:0045226,GO:0046379
COG2089	GO:0008152,GO:0071704,GO:0044723,GO:0044238,GO:0005975,GO:1901576,GO:0009058,GO:0016051
COG2148	GO:0008152,GO:0009058
COG2173	GO:0005618,GO:0044464,GO:0071944,GO:0005623,GO:0030312
COG3040	GO:0005576,GO:0044464,GO:0005623
COG3307	GO:0008152
COG3944	GO:0016020,GO:0016021,GO:0044425,GO:0031224
COG3955	NA
ENOG410YCZ8	GO:0016020,GO:0005576,GO:0005618,GO:0071944,GO:0044464,GO:0005623,GO:0030312
ENOG410YPU2	GO:0071944,GO:0016020,GO:0044464,GO:0005623,GO:0005886
ENOG410ZWTG	GO:0044464,GO:0005623,GO:0005618,GO:0071944,GO:0030312,GO:0005581,GO:0031012,GO:0044421,GO:0044420,GO:0005578,GO:0005576
ENOG411002V	NA
ENOG41102T8	GO:0071704,GO:0071554,GO:0044260,GO:0016998,GO:0009987,GO:0044237,GO:0043170,GO:0044248,GO:0044036,GO:0044763,GO:0071840,GO:0008152,GO:0009056,GO:0044699
ENOG4111GU7	NA
ENOG411285U	GO:0016020
ENOG4112B3N	GO:0005576
COG1298	GO:0016020,GO:0016021,GO:0044425,GO:0031224
COG1345	GO:0043232,GO:0044464,GO:0005623,GO:0005622,GO:0043229,GO:0043228,GO:0009288,GO:0044424,GO:0043226
COG1868	GO:0044464,GO:0005623,GO:0043232,GO:0005622,GO:0043229,GO:0043228,GO:0009288,GO:0044424,GO:0043226,GO:0044461,GO:0044463,GO:0009425,GO:0042995,GO:0044422,GO:0016020,GO:0071944,GO:0005886
COG3170	GO:0016020,GO:0044425,GO:0016021,GO:0031224
ENOG4111V7U	NA
COG0298	NA
COG1030	GO:0016020,GO:0016021,GO:0044425,GO:0031224
COG1066	GO:1901360,GO:0046483,GO:0034641,GO:0006807,GO:0008152,GO:0006139,GO:0009987,GO:0006725,GO:0043170,GO:0071704,GO:0044238,GO:0044237,GO:0006281,GO:0033554,GO:0044260,GO:0051716,GO:0006950,GO:0050896,GO:0044763,GO:0044699,GO:0006974,GO:0090304,GO:0006259,GO:0046434,GO:0009166,GO:0009167,GO:0009164,GO:0044281,GO:0009161,GO:0046130,GO:0009169,GO:0044710,GO:0009199,GO:0042454,GO:0009207,GO:0009205,GO:0009203,GO:0046034,GO:0046128,GO:1901564,GO:1901565,GO:0006163,GO:0019637,GO:0009141,GO:0009143,GO:0009144,GO:0009146,GO:0006195,GO:1901575,GO:0006200,GO:1901361,GO:0009158,GO:0009154,GO:0046700,GO:0009261,GO:0019439,GO:0034655,GO:0009150,GO:0044270,GO:1901292,GO:0006753,GO:0044248,GO:0009128,GO:0009123,GO:0009126,GO:0009259,GO:0009125,GO:0042278,GO:0055086,GO:1901136,GO:1901135,GO:0019693,GO:0072521,GO:0072523,GO:0006152,GO:0009117,GO:0009116,GO:0009119,GO:0009056,GO:1901657,GO:0006796,GO:0006793,GO:1901658,GO:0032259
COG1076	GO:0016020,GO:0044464,GO:0005623,GO:0071944,GO:0031224,GO:0016021,GO:0005886,GO:0044425
COG1391	GO:0008152
COG2020	GO:0016020,GO:0044425,GO:0031224,GO:0016021,GO:0044464,GO:0005623,GO:0005622,GO:0044424,GO:0005737,GO:0043229,GO:0043227,GO:0043226,GO:0043231,GO:0044444,GO:0005783
ENOG410XQB4	GO:0043229,GO:0043227,GO:0043226,GO:0043231,GO:0044464,GO:0005623,GO:0005622,GO:0044424,GO:0005634,GO:0044446,GO:0044428,GO:0005681,GO:0044422,GO:0030529,GO:0071013,GO:0032991
ENOG410XQZU	GO:0071944,GO:0016020,GO:0044464,GO:0005623,GO:0005886
ENOG410XT59	GO:0000413,GO:0008152,GO:0044238,GO:0018208,GO:0044260,GO:0044267,GO:0019538,GO:0044237,GO:0009987,GO:0018193,GO:0043170,GO:0071704,GO:0043412,GO:0036211,GO:0006464,GO:0006457
ENOG411131D	GO:0031012,GO:0044421,GO:0005576,GO:0005578,GO:0005581,GO:0044420,GO:0044464,GO:0005623,GO:0005783,GO:0005788,GO:0043229,GO:0071944,GO:0043227,GO:0043226,GO:0031224,GO:0005737,GO:0016021,GO:0016020,GO:0044432,GO:0030934,GO:0031974,GO:0005886,GO:0005593,GO:0005597,GO:0043231,GO:0043233,GO:0005622,GO:0044446,GO:0070013,GO:0044444,GO:0044424,GO:0044425,GO:0044422
COG2203	GO:0016020,GO:0031224,GO:0016021,GO:0044425
COG2365	GO:0035335,GO:0008152,GO:0009987,GO:0044237,GO:0016311,GO:0006796,GO:0006793,GO:0044260,GO:0043170,GO:0071704,GO:0044238,GO:0006470,GO:0019538,GO:0044267,GO:0036211,GO:0043412,GO:0006464
COG3103	GO:0016020
COG4753	GO:0044464,GO:0005623,GO:0005622
COG4943	NA
ENOG410XR6C	GO:0044464,GO:0005623,GO:0005622,GO:0043229,GO:0044424,GO:0043226,GO:0043231,GO:0005634,GO:0043227
