peptide	countNS	countWS
GO:0004470	0.001247919	0.002379482
GO:0004473	0.001247919	0.002379482
GO:0016774	0.004593901	0.008733631
GO:0008135	0.0079125	0.015025363
GO:0003989	0.00323825	0.00612484
GO:0016879	0.003385468	0.006385939
GO:0004731	0.000657323	0.001236984
GO:0016763	0.000657323	0.001236984
GO:0004527	0.000235503	0.000441602
GO:0008408	0.000235503	0.000441602
GO:0000156	0.000753309	0.00141237
GO:0018801	0.000226195	0.00042409
GO:0043167	0.063240146	0.118276785
GO:0016491	0.029095808	0.054249462
GO:0050662	0.006741087	0.012520631
GO:0004316	0.000734915	0.001356656
GO:0051287	0.003527678	0.006328942
GO:0050661	0.002635993	0.004711054
GO:0003674	0.002541914	0.00451815
GO:0004360	0.000709988	0.001261099
GO:0008483	0.000709988	0.001261099
GO:0016769	0.000709988	0.001261099
GO:0030246	0.000709988	0.001261099
GO:0070548	0.000709988	0.001261099
GO:0016757	0.000763276	0.001347929
GO:0005525	0.007965087	0.013977249
GO:0008233	0.002797256	0.00490682
GO:0003677	0.009204368	0.01604201
GO:0016421	0.002926893	0.005086209
GO:0009029	0.000162868	0.000282684
GO:0043168	0.037589381	0.0644474
GO:0004812	0.001995167	0.003413373
GO:0016875	0.001995167	0.003413373
GO:0050182	0.00081321	0.001388664
GO:0016628	0.001539532	0.0026077
GO:0008716	0.000174773	0.00029402
GO:0003824	0.102181515	0.171435694
GO:0070569	0.000800036	0.001336046
GO:0016462	0.012285056	0.020380997
GO:0016817	0.012285056	0.020380997
GO:0016818	0.012285056	0.020380997
GO:0004553	0.00064876	0.001074819
GO:0016798	0.00064876	0.001074819
GO:0004497	0.000810662	0.001340281
GO:0016701	0.000810662	0.001340281
GO:0016702	0.000810662	0.001340281
GO:0016703	0.000810662	0.001340281
GO:0018580	0.000810662	0.001340281
GO:0051213	0.000810662	0.001340281
GO:0016301	0.009177541	0.015136389
GO:0004112	9.51e-05	0.000155672
GO:0004521	9.51e-05	0.000155672
GO:0008663	9.51e-05	0.000155672
GO:0004075	0.002561584	0.0041773
GO:0004318	0.001016135	0.001654299
GO:0016787	0.020184838	0.032689594
GO:0016881	0.000367712	0.000590092
GO:0008861	0.000781731	0.00123777
GO:0016408	0.000781731	0.00123777
GO:0016453	0.000781731	0.00123777
GO:0016740	0.030215941	0.047820619
GO:0008901	0.00037136	0.000576712
GO:0016695	0.00037136	0.000576712
GO:0016699	0.00037136	0.000576712
GO:0016730	0.00037136	0.000576712
GO:0017111	0.011167021	0.017321058
GO:0046961	0.000623979	0.000965408
GO:0008763	0.000192939	0.000296072
GO:0008312	0.000133786	0.00020446
GO:0051538	0.000512637	0.000780331
GO:0051745	0.000512637	0.000780331
GO:0004312	0.001960489	0.002966091
GO:0004828	0.000624369	0.000943404
GO:0000036	0.001127171	0.00170039
GO:0044620	0.001127171	0.00170039
GO:0051192	0.001127171	0.00170039
GO:0051536	0.001881484	0.002765631
GO:0051540	0.001881484	0.002765631
GO:0016788	0.001945593	0.002835032
GO:0008094	0.000213779	0.000310398
GO:0004807	0.001416148	0.002051051
GO:0004831	0.00027828	0.000402468
GO:0008776	0.00100108	0.001445829
GO:0004674	0.000209091	0.000301264
GO:0016854	0.000363105	0.000523085
GO:0016857	0.000363105	0.000523085
GO:0050418	0.000103992	0.000148837
GO:0016726	0.000643037	0.000919331
GO:0060089	0.001224889	0.001737047
GO:0016772	0.013702966	0.019297406
GO:0016830	0.007259649	0.010177981
GO:0003986	0.000883649	0.001230059
GO:0016289	0.000883649	0.001230059
GO:0016790	0.000883649	0.001230059
GO:0016860	0.003807603	0.005224126
GO:0016861	0.003807603	0.005224126
GO:0004347	0.001190254	0.00162967
GO:0004743	0.000492947	0.000670135
GO:0030955	0.000492947	0.000670135
GO:0031420	0.000492947	0.000670135
GO:0005351	0.000576286	0.00077575
GO:0005402	0.000576286	0.00077575
GO:0008965	0.000576286	0.00077575
GO:0015291	0.000576286	0.00077575
GO:0015293	0.000576286	0.00077575
GO:0015294	0.000576286	0.00077575
GO:0015295	0.000576286	0.00077575
GO:0004540	0.0001692	0.000227272
GO:0048037	0.013748134	0.018196535
GO:0016829	0.016361004	0.021617887
GO:0016765	0.000845286	0.001104799
GO:0016742	0.000856702	0.0011119
GO:0016831	0.006063853	0.007855894
GO:0004751	0.001201201	0.001543405
GO:0003700	0.002804758	0.003545639
GO:0016835	0.005475149	0.006869691
GO:0016836	0.005475149	0.006869691
GO:0008289	0.000171137	0.000213909
GO:0015562	0.000171137	0.000213909
GO:0016994	0.000322025	0.000402507
GO:0004333	0.005183064	0.006352679
