id	countNS	countWS
GO:0042586	0.936559347990635	58
GO:0008662	0.936559347990635	41
GO:2001059	3.74623739196254	87
GO:0009024	3.74623739196254	87
GO:0009611	0.936559347990635	34
GO:0004084	1.87311869598127	49
GO:0006091	0.936559347990635	32
GO:0009374	9.36559347990635	165
GO:0008888	0.936559347990635	28
GO:0004564	0.936559347990635	26
GO:0030152	4.68279673995318	66
GO:0019512	4.68279673995318	64
GO:0004795	3.74623739196254	53
GO:0006749	2.80967804397191	41
GO:0004127	2.80967804397191	37
GO:0019388	0.936559347990635	18
GO:0010501	0.936559347990635	18
GO:0050044	0.936559347990635	18
GO:0047631	0.936559347990635	18
GO:0017057	1.87311869598127	27
GO:0102009	9.36559347990635	100
GO:0009025	3.74623739196254	45
GO:0005618	56.1935608794381	532
GO:0006220	3.74623739196254	43
GO:0016772	3.74623739196254	43
GO:0004867	2.80967804397191	34
GO:0008840	3.74623739196254	41
GO:0004362	3.74623739196254	41
GO:0004563	4.68279673995318	48
GO:0047473	3.74623739196254	39
GO:0008865	4.68279673995318	45
GO:0004300	4.68279673995318	41
GO:0016624	3.74623739196254	34
GO:0018492	3.74623739196254	34
GO:0047200	2.80967804397191	27
GO:0004105	0.936559347990635	13
GO:0004345	4.68279673995318	39
GO:0098794	1.87311869598127	19
GO:0005234	1.87311869598127	19
GO:0000921	9.36559347990635	71
GO:0005940	9.36559347990635	71
GO:0070181	4.68279673995318	38
GO:0004004	4.68279673995318	38
GO:0016592	2.80967804397191	25
GO:0004160	15.9215089158408	114
GO:0004736	49.6376454435037	340
GO:0019350	0.936559347990635	12
GO:0005990	0.936559347990635	12
GO:0099620	1.87311869598127	18
GO:0003863	1.87311869598127	18
GO:0003849	7.49247478392508	55
GO:0016726	2.80967804397191	24
GO:0018454	6.55591543593445	47
GO:0046417	1.87311869598127	17
GO:0004421	0.936559347990635	11
GO:0004715	0.936559347990635	11
GO:0008964	9.36559347990635	63
GO:0015658	2.80967804397191	22
GO:0001104	2.80967804397191	22
GO:0006449	4.68279673995318	33
GO:0043365	1.87311869598127	16
GO:0003713	1.87311869598127	16
GO:0052588	10.302152827897	64
GO:0070395	8.42903413191572	53
GO:0047850	8.42903413191572	53
GO:0006282	0.936559347990635	10
GO:0001680	0.936559347990635	10
GO:0031554	0.936559347990635	10
GO:0031469	0.936559347990635	10
GO:0008967	0.936559347990635	10
GO:0052928	0.936559347990635	10
GO:0052929	0.936559347990635	10
GO:0052927	0.936559347990635	10
GO:0050093	0.936559347990635	10
GO:0016888	8.42903413191572	52
GO:0006557	1.87311869598127	15
GO:0004014	1.87311869598127	15
GO:0034227	2.80967804397191	20
GO:0004356	33.7161365276629	187
GO:0004075	41.208611311588	224
GO:0047810	2.80967804397191	19
GO:0015977	11.2387121758876	63
GO:0016226	41.208611311588	219
GO:0008379	16.8580682638314	91
GO:0006401	7.49247478392508	42
GO:0009423	23.4139836997659	122
GO:0009073	26.2236617437378	136
GO:0005971	6.55591543593445	37
GO:0006542	24.3505430477565	126
GO:0004069	12.1752715238783	65
GO:0019752	41.208611311588	210
GO:0016884	21.5408650037846	111
GO:0019877	41.208611311588	207
GO:0071424	1.87311869598127	13
GO:0003861	1.87311869598127	13
GO:0004012	1.87311869598127	13
GO:0008239	1.87311869598127	13
GO:0070475	3.74623739196254	22
GO:0019510	5.61935608794381	31
GO:0004013	5.61935608794381	31
GO:0009399	25.2871023957472	126
GO:0006228	7.49247478392508	40
GO:0008955	6.55591543593445	35
GO:0005985	2.80967804397191	17
GO:0019284	0.936559347990635	8
GO:0016075	0.936559347990635	8
GO:0103025	0.936559347990635	8
GO:0004556	0.936559347990635	8
GO:0008830	3.74623739196254	21
GO:0052795	7.49247478392508	38
GO:0052796	7.49247478392508	38
GO:0052794	7.49247478392508	38
GO:0004455	46.8279673995318	218
GO:0008649	1.87311869598127	12
GO:0071705	8.42903413191572	41
GO:0004550	8.42903413191572	41
GO:0003856	4.68279673995318	24
GO:0016783	15.9215089158408	71
GO:0016692	47.7645267475224	204
GO:0050270	1.87311869598127	11
GO:0019146	1.87311869598127	11
GO:0000721	19.6677463078033	85
GO:0006233	0.936559347990635	7
GO:0008832	0.936559347990635	7
GO:0004132	0.936559347990635	7
GO:0004592	0.936559347990635	7
GO:0004357	0.936559347990635	7
GO:0008825	0.936559347990635	7
GO:0004714	0.936559347990635	7
GO:0004459	57.1301202274288	239
GO:0006807	21.5408650037846	91
GO:0004812	30.906458483691	129
GO:0103046	4.68279673995318	22
GO:0102008	4.68279673995318	22
GO:0080130	16.8580682638314	70
GO:0006107	14.9849495678502	62
GO:0015297	2.80967804397191	14
GO:0042895	2.80967804397191	14
GO:0102148	2.80967804397191	14
GO:0042256	4.68279673995318	21
GO:0017148	4.68279673995318	21
GO:0004810	4.68279673995318	21
GO:0070063	20.604305655794	82
GO:0006534	3.74623739196254	17
GO:0004322	81.4806632751853	310
GO:0004151	9.36559347990635	38
GO:0004021	11.2387121758876	45
GO:0090071	4.68279673995318	20
GO:0043885	2.80967804397191	13
GO:0003984	7.49247478392508	30
GO:0003796	5.61935608794381	23
GO:0098609	0.936559347990635	6
GO:0006013	0.936559347990635	6
GO:0009094	0.936559347990635	6
GO:0019317	0.936559347990635	6
GO:0042744	0.936559347990635	6
GO:0004559	0.936559347990635	6
GO:0015643	16.8580682638314	63
GO:0006147	3.74623739196254	16
GO:0008892	3.74623739196254	16
GO:0052908	3.74623739196254	16
GO:0009099	107.704325018923	382
GO:0009029	1.87311869598127	9
GO:0017061	1.87311869598127	9
