id	gos
GO:0005754	GO:0005754
GO:0019430	GO:0019430
GO:0015144	GO:0015144
GO:0006545	GO:0006545
GO:0003862	GO:0003862
GO:0015623	GO:0015623
GO:0102026	GO:0102026
GO:0045493	GO:0045493
GO:0043209	GO:0043209
GO:0042274	GO:0042274
GO:0008730	GO:0008730
GO:0031226	GO:0031226
GO:0019521	GO:0019521
GO:0032993	GO:0032993
GO:0005388	GO:0005388
GO:0001217	GO:0001217
GO:0102499	GO:0102499
GO:0102250	GO:0102250
GO:0004722	GO:0004722
GO:0071266	GO:0071266
GO:0046873	GO:0046873
GO:0009264	GO:0009264
GO:0006241	GO:0006241
GO:0016152	GO:0016152
GO:0006418	GO:0006418
GO:0003725	GO:0003725
GO:0004060	GO:0004060
GO:0016866	GO:0016866
GO:0000107	GO:0000107
GO:0006450	GO:0006450
GO:0004412	GO:0004412
GO:0008965	GO:0008965
GO:0030388	GO:0030388
GO:0031072	GO:0031072
GO:0004494	GO:0004494
GO:0019825	GO:0019825
GO:0008184	GO:0008184
GO:1902560	GO:1902560
GO:0003920	GO:0003920
GO:0004664	GO:0004664
GO:0019538	GO:0019538
GO:0004365	GO:0004365
GO:0006183	GO:0006183
GO:0008113	GO:0008113
GO:0009052	GO:0009052
GO:0004340	GO:0004340
GO:0004197	GO:0004197
GO:0097264	GO:0097264
GO:0036370	GO:0036370
GO:0015415	GO:0015415
GO:0033926	GO:0033926
GO:0000716	GO:0000716
GO:0003896	GO:0003896
GO:0004743	GO:0004743
GO:0003983	GO:0003983
GO:0032264	GO:0032264
GO:0043066	GO:0043066
GO:0004422	GO:0004422
GO:0052657	GO:0052657
GO:0009088	GO:0009088
GO:0030245	GO:0030245
GO:0019243	GO:0019243
GO:0042619	GO:0042619
GO:0007154	GO:0007154
GO:0048786	GO:0048786
GO:0000145	GO:0000145
GO:0004126	GO:0004126
GO:0030267	GO:0030267
GO:0044318	GO:0044318
GO:0003939	GO:0003939
GO:0009032	GO:0009032
GO:0004308	GO:0004308
GO:0004096	GO:0004096
GO:0051266	GO:0051266
GO:0004324	GO:0004324
GO:0008998	GO:0008998
GO:0004852	GO:0004852
GO:0043039	GO:0043039
GO:0008484	GO:0008484
GO:0006097	GO:0006097
GO:0050109	GO:0050109
GO:0009117	GO:0009117
GO:0008932	GO:0008932
GO:0051259	GO:0051259
GO:0008551	GO:0008551
GO:0004616	GO:0004616
GO:0051087	GO:0051087
GO:0008879	GO:0008879
GO:0017150	GO:0017150
GO:0004766	GO:0004766
GO:0042802	GO:0042802
GO:0019264	GO:0019264
GO:0004372	GO:0004372
GO:0004347	GO:0004347
GO:0036070	GO:0036070
GO:0000922	GO:0000922
GO:0004648	GO:0004648
GO:0016881	GO:0016881
GO:0004055	GO:0004055
GO:0034618	GO:0034618
GO:0045936	GO:0045936
GO:0030643	GO:0030643
GO:0033743	GO:0033743
GO:0004784	GO:0004784
GO:0004156	GO:0004156
GO:0008173	GO:0008173
GO:0009089	GO:0009089
GO:0003883	GO:0003883
GO:0004474	GO:0004474
GO:0022872	GO:0022872
GO:0015424	GO:0015424
GO:0019856	GO:0019856
GO:0018525	GO:0018525
GO:0004333	GO:0004333
GO:0005576	GO:0005576
GO:0006011	GO:0006011
GO:0042426	GO:0042426
GO:0046110	GO:0046110
GO:0035998	GO:0035998
GO:0006855	GO:0006855
GO:0051276	GO:0051276
GO:0003934	GO:0003934
GO:0046025	GO:0046025
GO:0009098	GO:0009098
GO:0006364	GO:0006364
GO:0015430	GO:0015430
GO:0006865	GO:0006865
GO:0103111	GO:0103111
GO:0004106	GO:0004106
GO:0043115	GO:0043115
GO:0006066	GO:0006066
GO:0006235	GO:0006235
GO:0015036	GO:0015036
GO:0004527	GO:0004527
GO:0050560	GO:0050560
GO:0003951	GO:0003951
GO:0045226	GO:0045226
GO:0004462	GO:0004462
GO:0006614	GO:0006614
GO:0015976	GO:0015976
GO:0006470	GO:0006470
GO:0008982	GO:0008982
GO:0046386	GO:0046386
GO:0016052	GO:0016052
GO:0047451	GO:0047451
GO:0009081	GO:0009081
GO:0000774	GO:0000774
GO:0016776	GO:0016776
GO:0008299	GO:0008299
GO:0004479	GO:0004479
GO:0000976	GO:0000976
GO:0008276	GO:0008276
GO:0015420	GO:0015420
GO:0006015	GO:0006015
GO:0030091	GO:0030091
GO:0009249	GO:0009249
GO:0008610	GO:0008610
GO:0006754	GO:0006754
GO:0030789	GO:0030789
GO:0004560	GO:0004560
GO:0006163	GO:0006163
GO:0006799	GO:0006799
GO:0009358	GO:0009358
GO:0005758	GO:0005758
GO:0051103	GO:0051103
GO:0006007	GO:0006007
GO:0004515	GO:0004515
GO:0052381	GO:0052381
GO:0019205	GO:0019205
GO:0005794	GO:0005794
GO:0030956	GO:0030956
GO:0003872	GO:0003872
GO:0006488	GO:0006488
GO:0007076	GO:0007076
GO:0006064	GO:0006064
GO:0035435	GO:0035435
GO:0006880	GO:0006880
GO:0008836	GO:0008836
GO:0046912	GO:0046912
GO:0004521	GO:0004521
GO:0001522	GO:0001522
GO:0004139	GO:0004139
GO:0006950	GO:0006950
GO:0004177	GO:0004177
GO:0019285	GO:0019285
GO:0043213	GO:0043213
GO:0009636	GO:0009636
GO:0015813	GO:0015813
GO:0015810	GO:0015810
GO:0016043	GO:0016043
GO:0052837	GO:0052837
GO:0006069	GO:0006069
GO:0000226	GO:0000226
GO:0070816	GO:0070816
GO:0006637	GO:0006637
GO:0006885	GO:0006885
GO:0006546	GO:0006546
GO:0042788	GO:0042788
GO:0019773	GO:0019773
GO:0016602	GO:0016602
GO:0000796	GO:0000796
GO:0009431	GO:0009431
GO:0030131	GO:0030131
GO:0016813	GO:0016813
GO:0003992	GO:0003992
GO:0019143	GO:0019143
GO:0052915	GO:0052915
GO:0003979	GO:0003979
GO:0004113	GO:0004113
GO:0008664	GO:0008664
GO:0018578	GO:0018578
GO:0008812	GO:0008812
GO:0042393	GO:0042393
GO:0050897	GO:0050897
GO:0008802	GO:0008802
GO:0004605	GO:0004605
GO:0050385	GO:0050385
GO:0051903	GO:0051903
GO:0016817	GO:0016817
GO:0005783	GO:0005783
GO:0050446	GO:0050446
GO:0030955	GO:0030955
