id	gos
GO:0003677	GO:0003677
GO:0004322	GO:0004322
GO:0005623	GO:0005623
GO:0006879	GO:0006879
GO:0006950	GO:0006950
GO:0008199	GO:0008199
GO:0005623	GO:0005623
GO:0006879	GO:0006879
GO:0006950	GO:0006950
GO:0008199	GO:0008199
GO:0055114	GO:0055114
GO:0003677	GO:0003677
GO:0004322	GO:0004322
GO:0005623	GO:0005623
GO:0006879	GO:0006879
GO:0006950	GO:0006950
GO:0008199	GO:0008199
GO:0003677	GO:0003677
GO:0004322	GO:0004322
GO:0005623	GO:0005623
GO:0006879	GO:0006879
GO:0006950	GO:0006950
GO:0008199	GO:0008199
GO:0003677	GO:0003677
GO:0004322	GO:0004322
GO:0005623	GO:0005623
GO:0006879	GO:0006879
GO:0006950	GO:0006950
GO:0008199	GO:0008199
GO:0005623	GO:0005623
GO:0006879	GO:0006879
GO:0006950	GO:0006950
GO:0008199	GO:0008199
GO:0055114	GO:0055114
GO:0005623	GO:0005623
GO:0006879	GO:0006879
GO:0006950	GO:0006950
GO:0008199	GO:0008199
GO:0055114	GO:0055114
GO:0005623	GO:0005623
GO:0006879	GO:0006879
GO:0006950	GO:0006950
GO:0008199	GO:0008199
GO:0055114	GO:0055114
GO:0005623	GO:0005623
GO:0006879	GO:0006879
GO:0006950	GO:0006950
GO:0008199	GO:0008199
GO:0055114	GO:0055114
GO:0005623	GO:0005623
GO:0006879	GO:0006879
GO:0006950	GO:0006950
GO:0008199	GO:0008199
GO:0055114	GO:0055114
GO:0005623	GO:0005623
GO:0006879	GO:0006879
GO:0006950	GO:0006950
GO:0008199	GO:0008199
GO:0055114	GO:0055114
GO:0005623	GO:0005623
GO:0006879	GO:0006879
GO:0006950	GO:0006950
GO:0008199	GO:0008199
GO:0055114	GO:0055114
GO:0005623	GO:0005623
GO:0006879	GO:0006879
GO:0006950	GO:0006950
GO:0008199	GO:0008199
GO:0055114	GO:0055114
GO:0005623	GO:0005623
GO:0006879	GO:0006879
GO:0006950	GO:0006950
GO:0008199	GO:0008199
GO:0055114	GO:0055114
GO:0005623	GO:0005623
GO:0006879	GO:0006879
GO:0006950	GO:0006950
GO:0008199	GO:0008199
GO:0055114	GO:0055114
GO:0003677	GO:0003677
GO:0004322	GO:0004322
GO:0005623	GO:0005623
GO:0006879	GO:0006879
GO:0006950	GO:0006950
GO:0008199	GO:0008199
GO:0005623	GO:0005623
GO:0006879	GO:0006879
GO:0006950	GO:0006950
GO:0008199	GO:0008199
GO:0055114	GO:0055114
